,개수
밀키트,16473
제품,8531
상품,7915
시장,7240
판매,7196
서비스,5712
식품,5317
매출,5249
요리,5204
배송,5030
온라인,4917
코로나19,4902
출시,4479
고객,4323
메뉴,4243
브랜드,4061
증가,3979
간편식,3959
사업,3857
기업,3769
대표,3743
지역,3653
제공,3629
진행,3408
확대,3391
지원,3281
인기,3272
구매,3270
운영,3196
음식,3155
배달,3112
이마트,2920
소비자,2890
주문,2842
성장,2790
조리,2772
대비,2664
계획,2653
가능,2633
시작,2572
관계자,2455
할인,2415
활용,2371
매장,2342
구성,2324
업체,2216
세트,2188
소비,2178
프레시지,2150
행사,2101
가구,2083
가정,2083
가격,2071
투자,2056
준비,2041
강화,1994
예정,1993
식재료,1981
유통,1912
수요,1900
트렌드,1885
프리미엄,1878
사용,1872
이용,1867
선물,1865
규모,1856
대상,1848
최대,1827
재료,1809
건강,1798
서울,1758
외식,1725
업계,1715
전국,1710
전문,1700
기간,1680
오프라인,1666
플랫폼,1656
GS리테일,1632
레시피,1588
참여,1574
사회,1569
선정,1564
셰프,1563
식사,1543
한국야쿠르트,1522
협업,1486
편의점,1479
생산,1432
소상공인,1425
피코크,1411
쇼핑,1405
손질,1385
확산,1380
신선,1379
소스,1359
설명,1344
변화,1343
심플리쿡,1331
전망,1292
스타트업,1288
GS,1284
방송,1254
중심,1197
포장,1196
스테이크,1194
산업,1157
경제,1147
회사,1136
마케팅,1124
기준,1124
시대,1123
프로그램,1113
미국,1109
채널,1107
명절,1107
기록,1102
집밥,1100
센터,1093
유명,1089
CJ제일제당,1081
정도,1070
제조,1061
경쟁력,1061
상황,1059
가족,1054
방식,1052
전략,1051
결과,1048
추가,1042
이벤트,1034
식당,1034
창업,1028
레스토랑,1017
마련,1007
판매량,1004
분야,1000
품목,988
반찬,987
사진,986
맛집,979
모바일,977
문화,977
구독,977
관심,974
거리,971
전용,956
경험,954
먹거리,950
공간,937
형태,937
푸드,932
점포,929
활동,928
포함,925
생활,922
물류,921
마트,917
수준,910
사람,899
자체,891
네이버,889
확보,887
생각,881
제작,877
기획,877
만큼,875
잇츠온,873
양념,871
진출,871
도시락,870
특징,864
추진,864
구축,864
예상,863
급증,852
선택,849
추석,844
CJ,837
혜택,835
고기,833
캠핑,833
전달,820
주목,820
한국,819
GS25,818
가치,815
쇼핑몰,814
오픈,813
론칭,811
차별화,808
,804
소개,803
세계,797
콘텐츠,794
평가,792
동기,790
SSG닷컴,789
디지털,786
입점,783
방문,779
김치,775
채소,772
하루,771
호텔,748
프레시,748
산천어,747
농산물,745
수산물,737
품질,737
정부,733
관리,732
영향,731
특별,729
확장,726
글로벌,726
사람들,726
경쟁,724
새벽,719
쿡킷,716
연말,713
키트,713
차지,713
조사,712
지속,710
노력,706
사태,705
백화점,705
환경,703
해외,695
자리,695
샐러드,693
해결,691
현대백화점,689
적용,686
지속적,685
롯데마트,684
이날,682
라이브,680
비중,676
각종,670
청년,668
냉동,661
공급,660
유지,653
사랑,651
반영,649
모델,649
구입,648
리테일,647
카테고리,646
교육,646
전통,645
평균,644
KT,637
프로젝트,635
고급,632
완성,632
1인,631
떡볶이,629
결제,628
집중,628
한우,627
혁신,626
와인,623
마켓컬리,622
새벽배송,620
SNS,620
효과,619
공유,618
홈파티,616
영상,615
소고기,614
공장,613
한식,610
마켓,608
안전,605
확인,604
부담,604
신선식품,603
편리,598
가공,597
강조,596
미래,594
신규,591
우수,590
정기,590
동시,589
롯데백화점,586
데이터,585
커피,584
패키지,576
쿠팡,576
스마트,575
신종,574
가지,572
여행,570
대표적,568
통합,565
모습,564
감염증,563
과일,560
공략,553
판로,552
의미,552
식감,547
협력,547
체험,547
AI,546
기회,542
공개,541
정보,541
커머스,541
노하우,540
분위기,539
영업,537
편스토랑,537
고민,537
크리스마스,536
예약,533
온라인몰,533
축제,533
상태,531
마음,530
전문점,530
경기,530
위기,530
연휴,529
바탕,529
개선,528
부산,526
기획전,526
취향,524
실제,524
역량,523
언택트,521
박스,519
성공,518
비용,516
소재,514
전환,512
어려움,511
세대,508
가량,506
방침,505
상승,505
식물,503
맞춤,502
홈플러스,502
수출,502
일상,500
생필품,499
보유,498
상생,497
맥주,494
장점,492
파스타,491
겨냥,490
도움,488
마이셰프,484
추세,483
가전,483
중요,480
중국,479
감소,479
방법,477
발생,477
인증,476
SSG,476
비교,475
집콕,474
CU,474
선호,471
홍보,470
발전,470
광화문,470
적극,469
시설,469
조리법,468
본격적,468
유튜브,468
일반,467
쿠폰,467
안주,465
등장,465
대형,464
최고,461
물량,459
연계,458
주방,457
창출,456
입맛,452
자신,451
신장,450
현장,449
성장세,444
반응,444
육성,440
시너지,439
당일,438
상반기,436
온라,434
단계,432
치즈,431
회장,430
여성,430
피자,430
시간,429
용품,429
설립,429
공동,428
누적,427
발굴,427
종류,426
대응,426
냉장,423
신청,423
실적,423
중소기업,422
야쿠르트,422
체결,422
재택근무,421
카드,421
직원,418
활성,417
현대그린푸드,415
영양,413
프랜차이즈,413
증정,412
국물,412
전문가,411
홈페이지,411
농가,410
식자재,409
별도,409
제시,409
라면,407
장기,406
개최,405
아이,405
무료,404
역할,404
식단,402
정책,401
보관,398
추천,397
TV,396
시그니처,396
사례,396
위치,395
롯데슈퍼,395
마스크,393
핵심,391
금액,391
식탁,390
경영,389
여름,389
사이,388
PB,388
11번가,386
제일제당,386
공식,386
수산,383
프로모션,383
솔루션,381
주말,378
대한민국,378
기념,377
특성,376
기관,375
사장,374
주력,374
회원,371
실시간,370
한정,370
돼지고기,369
RMR,368
제주,367
돌파,365
편식,362
성과,362
영역,361
조선호텔,361
닷컴,360
주제,360
장보기,359
식품업계,359
야채,359
선도,359
식문화,358
카페,356
인수,356
아이들,355
냉장고,354
LG,354
특화,354
편의,354
종합,353
요즘,352
티몬,352
멤버십,352
만족,351
인식,350
자연,350
사전,349
달성,349
개인,348
콘셉트,347
GS홈쇼핑,347
유통업계,346
치킨,346
행복,346
지급,345
부대찌개,345
LG전자,344
국민,343
세븐일레븐,342
일자리,340
용기,339
파티,339
급성장,338
재미,338
초기,336
제품들,335
강원도,334
육수,334
비대면,334
간식,333
업무,332
벤처,331
니즈,331
치열,331
신세계,329
인프라,328
전자레인지,328
더반찬,328
소통,327
감바스,326
풍미,326
상권,326
조성,325
일본,325
운동,325
라이프,325
시행,325
신제품,324
교수,324
제안,324
매니저,324
시리즈,323
복지,323
음료,323
혼자,323
스토어,323
대체,322
도전,321
개척,320
캠페인,319
단백질,319
큐커,317
중기부,316
현지,316
자동,316
인근,316
방안,315
현상,314
국가,314
패션,313
여파,313
원대,313
협약,313
활성화,313
자사,313
가성비,312
어묵,311
백종원,310
불고기,309
즐거움,309
매출액,308
섭취,308
이름,308
극복,307
디자인,307
스타일,306
수도,305
팀장,301
즉석,301
디저트,300
삼계탕,300
평소,300
임직원,299
밥상,299
추구,298
보양식,298
부족,298
아내,297
화장품,297
위주,296
유치,296
모임,296
위메프,295
택배,295
건수,294
지분,294
플라스틱,294
구조,294
아이디어,293
음식점,291
포인트,291
계약,291
출연,290
삼성전자,289
대기업,289
지정,288
급식,287
가입,286
방역,286
결정,285
단독,284
이커머스,284
농업,283
기업들,283
가정식,282
유통업,282
그룹,282
새우,280
장기화,280
신세계푸드,279
속도,278
제품군,278
아이템,277
식품관,276
유기농,276
부부,276
롯데,275
풀무원,275
달러,275
이색,275
라이브커머스,275
호응,275
거래,274
기부,274
류수영,274
경기도,273
결합,272
라인업,271
인몰,270
제휴,270
양파,269
이야기,269
최종,269
수익,268
특가,267
만두,267
시즌,266
상무,265
설치,265
연결,264
이사,264
코너,264
떡국,264
최소화,264
그동안,263
주류,263
위생,263
전자,262
손님,260
볶음밥,260
중소,259
즉석밥,259
가정간,259
검토,258
우승,258
진화,258
두부,258
금융,258
도시,258
이미지,256
업종,256
의견,253
대구,252
강남,252
우리나라,251
눈길,251
2인,251
민족,249
시도,249
걱정,248
구이,248
과거,248
외출,248
가능성,247
쓰레기,247
인터넷,246
자금,246
주도,246
밀레니얼,245
컨설팅,245
선물세트,244
자랑,244
확진자,244
신설,244
편의성,244
절반,244
인구,242
제한,242
원재료,242
단체,242
찌개,241
이동,241
점유,240
학교,240
판단,240
연간,240
게임,239
빅데이터,239
완판,238
차례,238
취약,238
동네,237
아동,237
부회장,237
아줌마,237
처리,237
영화,237
일정,237
산지,236
대세,236
상품군,236
온도,235
계열사,235
고용,235
탄생,234
계층,234
동물,233
맞벌이,233
롯데온,232
외부,232
모집,230
애플리케이션,230
리뉴얼,230
끼니,229
주문량,229
쿠킹,229
베트남,229
